,node_name,Count_Jan,Predicted_may,predicted_June,jun_cases,May_cases,Reduced_May,Reduced_Jun
0,"Aargau,Switzerland",8,41.72257313340164,139.31314160951237,8,8,12.584405103388693,35.971141370878414
1,"Abruzzo,Italy",1,1.1683538597289633,3.0610871124898806,1,1,1.1683538597289633,3.0610871124898806
2,"Abu Dhabi,United Arab Emirates",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
3,"Abuja,Nigeria",168,202.75859688557944,537.2275238402174,417,417,196.93096327957755,516.5591237924931
4,"Addis Ababa,Ethiopia",69,83.85399054685533,222.69745523276097,82,82,80.94017374385434,212.36325520889824
5,"Adrar,Algeria",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
6,"Agder,Norway",11,12.851892457018605,33.67195823738875,11,11,12.851892457018605,33.67195823738875
7,"Aguascalientes,Mexico",363,424.11245108161387,1111.1746218338287,363,363,424.11245108161387,1111.1746218338287
8,"Aichi Prefecture,Japan",98,133.92412360678023,368.8812038497648,98,98,116.4412227887727,306.87600370658464
9,"Ain Defla,Algeria",31,36.218969651597874,94.8937004871865,31,31,36.218969651597874,94.8937004871865
10,"Ain Temouchent,Algeria",7,8.178477018102747,21.427609787429194,7,7,8.178477018102747,21.427609787429194
11,"Akershus,Norway",1,7.643502310842952,26.02597605440852,1,1,1.8158687048403628,5.357576006681749
12,"Akita,Japan",4,4.673415438915853,12.244348449959523,4,4,4.673415438915853,12.244348449959523
13,"Akmola,Kazakhstan",9,10.515184737560672,27.549784012408942,9,9,10.515184737560672,27.549784012408942
14,"Aktobe,Kazakhstan",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
15,"Akwa Ibom,Nigeria",16,18.693661755663413,48.97739379983809,19,19,18.693661755663413,48.97739379983809
16,"Alabama,United States",250,295.32603915779845,776.7542225934332,250,250,292.4122223547963,766.4200225695657
17,"Alagoas,Brazil",3,3.505061579186891,9.18326133746966,3,3,3.505061579186891,9.18326133746966
18,"Alaska,United States",35,40.89238509051374,107.13804893714607,35,35,40.89238509051374,107.13804893714607
19,"Alberta,Canada",158,204.02535519051793,552.5464305991575,158,158,186.54245437251052,490.54123045597737
20,"Alborz,Iran",346,404.25043546622146,1059.1361409215008,346,346,404.25043546622146,1059.1361409215008
21,"Alentejo,Portugal",5,5.841769298644816,15.305435562449414,5,5,5.841769298644816,15.305435562449414
22,"Algarve,Portugal",42,49.07086210861645,128.56565872457494,42,42,49.07086210861645,128.56565872457494
23,"Alger,Algiers",181,230.8974939642841,622.9514341864253,181,181,213.41459314627667,560.9462340432445
24,"Algiers,Algeria",21,43.960876407650225,133.1774961880436,21,21,26.477975589642398,71.1722960448632
25,"Almaty,Kazakhstan",8,9.346830877831707,24.488696899919045,8,8,9.346830877831707,24.488696899919045
26,"Alto Parana,Paraguay",12,14.020246316747563,36.73304534987864,12,12,14.020246316747563,36.73304534987864
27,"Amhara,Ethiopia",2,2.3367077194579267,6.122174224979761,2,2,2.3367077194579267,6.122174224979761
